id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/174203	10.2307/174203	Economic Causation in the Breakdown of Military Equilibrium	Murray Wolfson, Homa Shabahang	The Journal of Conflict Resolution	35	1	1991-03-01T00:00:00Z	pp. 43-67	Sage Publications, Inc.	fla		The interdependence of economic and military power have previously been discussed in terms of the ability of a dominant power to inflict economic costs on its opponent by requiring it to allocate scarce resources to a competitive arms race. This article turns the question around and asks what patterns of economic development will cause an acceleration of an arms race and increase the danger of war.	
10.2307/23433890	10.2307/23433890	The Influence of Supervisory Behavioral Integrity on Intent to Comply with Organizational Ethical Standards and Organizational Commitment	Janie Harden Fritz, Naomi Bell O'Neil, Ann Marie Popp, Cory Williams, Ronald C. Arnett	Journal of Business Ethics	114	2	2013-05-01T00:00:00Z	pp. 251-263	Springer	fla		We examined cynicism as a mediator of the influence of managers' mission-congruent communication and behavior about ethical standards (a form of supervisory behavioral integrity) on employee attitudes and intended behavior. Results indicated that cynicism partially mediates the relationship between supervisory behavioral integrity and organizational commitment, but not the relationship between supervisory behavioral integrity and intent to comply with organizational expectations for employee conduct.	
10.2307/25042375	10.2307/25042375	Obituary	J. K. Ghosh	Sankhyā: The Indian Journal of Statistics, Series B (1960-2002)	63	1	2001-04-01T00:00:00Z	pp. 1-2	Indian Statistical Institute, Springer	nws			
10.2307/40703968	10.2307/40703968		Barbara Y. LaCost	Journal of Education Finance	21	3	1996-01-01T00:00:00Z	pp. 432-436	University of Illinois Press	brv	America's Gamble: Public School Finance and State Lotteries|Thomas H. Jones;John L. Amalfitano		
10.2307/25567608	10.2307/25567608	Prediction of General Practice Workload from Census Based Social Deprivation Scores	Yoav Ben-Shlomo, Ian White, Paul M. McKeigue	Journal of Epidemiology and Community Health (1979-)	46	5	1992-10-01T00:00:00Z	pp. 532-536	BMJ Publishing Group	fla		Study objective-The aim was to compare the ability of census based social deprivation scores devised by Jarman, Carstairs, and Townsend to predict workload in general practice. Design-This was a prospective study of 140 050 patients registered with general practices over one year from 1 July 1981 (Third National Morbidity Survey). Main outcome measures were workload score for each patient, defined as a weighted sum of consultations at the surgery and consultations elsewhere, excluding preventive procedures. Setting-25 general practices in England and Wales. Main results-In multivariate analyses the Jarman, Carstairs, and Townsend indices all predicted workload, but the Townsend index was the best predictor, with both housing tenure and car ownership being strong predictors of workload. The overcrowding and geographical mobility variables used in the Jarman index did not predict increased workload. The weighting assigned to children under five by the Jarman index underestimated the additional workload this group generated. Conclusions-For identifying social pressures on general practice workload the Jarman index is less valid than other census based scores because it fails to include car ownership and housing tenure. A more rational scheme for compensating general practitioners would directly weight the capitation fee for children aged under five years and allocate current deprivation payments according to the Townsend index or a similar score. This would redistribute resources from London to deprived areas in northern England.	
10.2307/2557606	10.2307/2557606	The Effect of Infection by Erysiphe pisi DC on Acid and Alkaline Invertase Activities and Aspects of Starch Biochemistry in Leaves of Pisum sativum L.	Trevor Storr, J. L. Hall	New Phytologist	121	4	1992-08-01T00:00:00Z	pp. 535-543	New Phytologist Trust, Wiley	fla		The acid and alkaline invertases of mature leaves of Pisum sativum were partially purified and characterized prior to determining the effects of powdery mildew (Erysiphe pisi) infection on their activities. Seven days after inoculation, infection resulted in significant increases in the activities of both acid and alkaline invertases in whole leaves of cv. Onward, but a significant increase in the activity of only alkaline invertase in isolated mesophyll of cv. Argenteum. Activity of α-glucosidase was determined in leaves and it was concluded that this enzyme could not be responsible for the increased sucrose hydrolase activity observed in host tissues. Seven days after inoculation, infection caused a significant decrease in leaf starch content, a decrease in the activity of ADP-glucose pyrophosphorylase, and no significant change in the activity of α-glucan phosphorylase or content of inorganic phosphate. It was proposed that the decreased content of starch is a result of decreased starch synthesis.	
10.2307/25620598	10.2307/25620598	Back Matter		American Libraries	7	2	1976-02-01T00:00:00Z		American Library Association	mis			
10.2307/1620936	10.2307/1620936	Bloom's Syndrome Protein Is Required for Correct Relocalization of RAD50/MRE11/NBS1 Complex after replication Fork arrest	Annapaola Franchitto, Pietro Pichierri	The Journal of Cell Biology	157	1	2002-04-01T00:00:00Z	pp. 19-30	The Rockefeller University Press	fla		Bloom's syndrome (BS) is a rare genetic disorder characterized by a broad range of symptoms and, most importantly, a predisposition to many types of cancers. Cells derived from patients with BS exhibit an elevated rate of somatic recombination and hypermutability, supporting a role for bleomycin (BLM) in the maintenance of genomic integrity. BLM is thought to participate in several DNA transactions, the failure of which could give raise to genomic instability, and to interact with many proteins involved in replication, recombination, and repair. In this study, we show that BLM function is specifically required to properly relocalize the RAD50/MRE11/NBS1 (RMN) complex at sites of replication arrest, but is not essential in the activation of BRCA1 either after stalled replication forks or γ-rays. We also provide evidence that BLM is phosphorylated after replication arrest in an Ataxia and RAD3-related protein (ATR)-dependent manner and that phosphorylation is not required for subnuclear relocalization. Therefore, in ATR dominant negative mutant cells, the assembly of the RMN complex in nuclear foci after replication blockage is almost completely abolished. Together, these results suggest a relationship between BLM, ATR, and the RMN complex in the response to replication arrest, proposing a role for BLM protein and RMN complex in the resolution of stalled replication forks.	
10.1525/mp.2011.28.4.367	10.1525/mp.2011.28.4.367	Illusory Tempo Changes Due to Musical Characteristics	Marilyn G. Boltz	Music Perception: An Interdisciplinary Journal	28	4	2011-04-01T00:00:00Z	pp. 367-386	University of California Press	fla		Recent research in music cognition has investigated ways in which different structural dimensions interact to influence perception and cognition. In the present research, various musical characteristics were manipulated to observe their potential influence on perceived tempo. In Experiment 1, participants were given a paired comparison task in which music-like patterns differed in both the pitch octave (high vs. low) and timbre (bright vs. dull) in which they were played. The results indicated that relative to their standard referents, comparison melodies were judged faster when displaying a higher pitch and/or a brighter timbre—even when no actual tempo differences existed. Experiment 2 converged on these findings by demonstrating that the perceived tempo of a melody was judged faster when it increased in pitch and/or loudness over time. These results are suggested to stem from an overgeneralization of certain structural correlations within the natural environment that, in turn, has implications for both musical performance and the processing of tempo information.	
10.2307/27503376	10.2307/27503376	Four Theories of Population Change and the Environment	Carole L. Jolly	Population and Environment	16	1	1994-09-01T00:00:00Z	pp. 61-90	Springer	fla		This paper evaluates current theories of the relationship between population change and the environment, particularly land use, in developing countries. Specifically, this paper critically reviews the literature and suggests what demographers can contribute to testing these theories. The literature can be divided into four main theoretical frameworks. Population growth plays a different role in each of these theories. (1) For the neoclassical economists, high population growth is a neutral factor; it has no intrinsic effect on the environment. How population growth affects the environment depends on whether free market policies are operative. In an efficient market, population growth can serve to induce innovation and the development of advanced technologies. In an economy full of distortions, high population growth can exacerbate the effects of these distortions. (2) For the classical economists or natural scientists, high population growth is the independent factor causing environmental degradation. As an increasing population puts pressure on fixed available resources to maintain or increase the population's standard of living, environmental degradation occurs as resources are depleted. Empirical work has generally centered on estimating the carrying capacity of land to determine what size population can be supported, given available resources. (3) For many dependency theorists, high population growth is a symptom of a deeper problem, poverty. Environmental degradation and high population growth are linked, not in that one causes the other, but in that their root cause is the same: unequal distribution of resources maintained by distorted political and economic relations.	
10.2307/660741	10.2307/660741	Who Were the Padouca?	George Bird Grinnell	American Anthropologist	22	3	1920-07-01T00:00:00Z	pp. 248-260	American Anthropological Association, Wiley	fla			
10.1086/235396	10.1086/235396	Frank A. D'Accone, <i>The Civic Muse: Music and Musicians in Siena during the Middle Ages and the Renaissance</i>	Reinhard Strohm	The Journal of Modern History	71	4	1999-12-01T00:00:00Z	pp. 972-973	The University of Chicago Press	brv	The Civic Muse: Music and Musicians in Siena during the Middle Ages and the Renaissance|Frank A.  D'Accone.		
10.2307/1403590	10.2307/1403590	Quality Improvement: The New Industrial Revolution	George Box	International Statistical Review / Revue Internationale de Statistique	61	1	1993-04-01T00:00:00Z	pp. 3-19	International Statistical Institute (ISI)	fla		Beginning from Bacon's famous aphorism that 'Knowledge Itself is Power', the underlying philosophy of modern quality improvement is seen as the mobilization of presently available sources of knowledge and knowledge gathering. These resources, often untapped include the following: (i) that the whole workforce possesses useful knowledge and creativity; (ii) that every system by its operation produces information on how it can be improved; (iii) that simple procedures can be learned for better monitoring and adjustment of processes; (iv) that elementary principles of experimental design be put to use that can increase the efficiency many times over of experimentation for process improvement, development, and research. /// S'inspirant de la célèbre maxime de Bacon 'La connaissance ellemême est le pouvoir', la philosophie sous-jacente à l'amélioration de la qualité moderne est vue comme une mobilisation des sources de savoir qui sont présentement disponibles, et à la collecte de connaissances. Parmi ces resources, souvent ignorées, on retrouvent: i) que l'ensemble de la main d'oeuvre est créative et possède de l'information très utile, ii) que tout système, par ses opérations, produit de l'information sur la façon dont il pourrait être amélioré, iii) que des procédures simples peuvent être apprises afin d'obtenir un meilleur contrôle et un meilleur ajustement des processus, iv) que des principes élémentaires de planification d'expériences soient mis en application au lieu de l'expérimentation, afin d'augmenter l'efficacité de l'amélioration du processus, du développement et de la recherche.	
10.2307/2061003	10.2307/2061003	A Dynamic Analysis of Migration: An Assessment of the Effects of Age, Family and Career Variables	Gary D. Sandefur, Wilbur J. Scott	Demography	18	3	1981-08-01T00:00:00Z	pp. 355-368	Population Association of America, Springer	fla		This paper examines the utility of viewing migration in the context of work careers and family life cycles. We do this by studying migration as a discrete state, continuous time process. We find that the inverse relationship between age and migration is due almost completely to the effects of family life cycle and work career variables. Further, we find that job- or location-specific resources, prestige and wage deter migration.	
10.2307/1621972	10.2307/1621972	In vivo Kinetics of Cajal Body Components	Miroslav Dundr, Michael D. Hebert, Tatiana S. Karpova, David Stanek, Hongzi Xu, Karl B. Shpargel, U. Thomas Meier, Karla M. Neugebauer, A. Gregory Matera, Tom Misteli	The Journal of Cell Biology	164	6	2004-03-15T00:00:00Z	pp. 831-842	The Rockefeller University Press	fla		Cajal bodies (CBs) are subnuclear domains implicated in small nuclear ribonucleoprotein (snRNP) biogenesis. In most cell types, CBs coincide with nuclear gems, which contain the survival of motor neurons (SMN) complex, an essential snRNP assembly factor. Here, we analyze the exchange kinetics of multiple components of CBs and gems in living cells using photobleaching microscopy. We demonstrate differences in dissociation kinetics of CB constituents and relate them to their functions. Coilin and SMN complex members exhibit relatively long CB residence times, whereas components of snRNPs, small nucleolar RNPs, and factors shared with the nucleolus have significantly shorter residence times. Comparison of the dissociation kinetics of these shared proteins from either the nucleolus or the CB suggests the existence of compartment-specific retention mechanisms. The dynamic properties of several CB components do not depend on their interaction with coilin because their dissociation kinetics are unaltered in residual nuclear bodies of coilin knockout cells. Photobleaching and fluorescence resonance energy transfer experiments demonstrate that coilin and SMN can interact within CBs, but their interaction is not the major determinant of their residence times. These results suggest that CBs and gems are kinetically independent structures.	
10.2307/27638828	10.2307/27638828	Testing for the Significance of Violations of Afriat's Inequalities	Adrian R. Fleissig, Gerald A. Whitney	Journal of Business & Economic Statistics	23	3	2005-07-01T00:00:00Z	pp. 355-362	American Statistical Association	fla		Two new nonparametric procedures are developed to evaluate the significance of violations of revealed preference found by standard nonstochastic tests. Our tests with high probability correctly detect utility maximization for data generated with measurement error. The procedures are not very sensitive to misspecifying the amount of error that could have caused the data to violate revealed preference. The tests have power against an alternative of random behavior. Both tests fail to reject the null of rational utility maximization from a monetary dataset that has violations of revealed preference.	
10.2307/25040787	10.2307/25040787	Analysis of Non-Point Pollution Export from Small Catchments	D. M. Griffin, Jr., T. J. Grizzard, C. W. Randall, D. R. Helsel, J. P. Hartigan	Journal (Water Pollution Control Federation)	52	4	1980-04-01T00:00:00Z	pp. 780-790	Water Environment Federation	fla		A year-long study was conducted in the Occoquan and Four-Mile Run basins of northern Virginia to determine the effect of land use on the quantity and quality of runoff from the receiving area of small catchments. Twenty-one sites were selected ranging from undisturbed forest land to highly urbanized sites. All runoff events at all operable stations were monitored for flow and pollutant load. The results were analyzed using nonparametric statistical methods. Analysis showed that pollutant yield from residential/urban sites increased monotonically as the percentage imperviousness of the catchment receiving area increased for most pollutants. The flushing characteristics of runoff events from different sites were also investigated. It was found that insoluble pollutants exhibited a first flush response while soluble pollutants did not.	
10.2307/40228274	10.2307/40228274	Changes in Russian Quality Management Practices from 1989 to 1992	Nancy Birch, John Pooley	MIR: Management International Review	35	3	1995-09-01T00:00:00Z	pp. 219-239	Springer	fla		This paper presents the results of a study comparing Russian factory quality management practices in 1989 and 1992. Comparing study results across time has identified several interesting findings about Russian quality practices. Results from the study indicate that in the three years since economic reform Russian factories are making progress at improving product quality. From 1989 to 1992, Russian factory workers have observed significant improvement in the level of product quality at their factories. One reason for this change is the relative priority that Russian managers are giving quality higher priority in 1992. Another reason for this improvement is that Russian factories have appeared to have evolved from a defect detection orientation to a defect prevention orientation.	
10.2307/2957200	10.2307/2957200		L. L. Price	The Economic Journal	6	24	1896-12-01T00:00:00Z	pp. 602-605	Royal Economic Society, Wiley	brv	Life and Labour of the People in London.|Charles Booth		
10.2307/2289766	10.2307/2289766	Multinomial Runs Tests to Detect Clustering in Constrained Free Recall	Gail Rubin, Charles E. McCulloch, Michael A. Shapiro	Journal of the American Statistical Association	85	410	1990-06-01T00:00:00Z	pp. 315-320	American Statistical Association	fla		Psychologists often want to detect category structure in subjects' free recall protocols. Although runs tests based on the binomial distribution are commonly used to detect nonrandomness within a sequence, many research situations require tests based on the multinomial distribution. We propose a test of randomness versus clustering based on the number of runs in multinomial data. We illustrate its use with data from a mass communication experiment using a constrained free recall procedure.	
10.2307/583674	10.2307/583674	Comparing the Family Policies of Three States: A Content Analysis	Shirley L. Zimmerman, Phyllis Owens	Family Relations	38	2	1989-04-01T00:00:00Z	pp. 190-195	National Council on Family Relations	fla		A comparative content analysis of the legislative summaries of three states, Nevada, Minnesota, and South Carolina in 1979, 1982/83, and 1985 shows that these states differ markedly in terms of the quantity and substance of the explicit family legislation they enact. Differences seem to mirror the political cultures with which these three states have been identified: Nevada, individualistic; Minnesota, moralistic; and South Carolina, traditionalistic. Because the family policies that states enact make a difference to families and to the practice of family professionals, family professionals must take an active role in making sure the states in which they live and work enact policies that enhance, and not diminish, family life.	
10.2307/30161978	10.2307/30161978	Return on Marketing: Using Customer Equity to Focus Marketing Strategy	Roland T. Rust, Katherine N. Lemon, Valarie A. Zeithaml	Journal of Marketing	68	1	2004-01-01T00:00:00Z	pp. 109-127	American Marketing Association	fla		The authors present a unified strategic framework that enables competing marketing strategy options to be traded off on the basis of projected financial return, which is operationalized as the change in a firm's customer equity relative to the incremental expenditure necessary to produce the change. The change in the firm's customer equity is the change in its current and future customers' lifetime values, summed across all customers in the industry. Each customer's lifetime value results from the frequency of category purchases, average quantity of purchase, and brand-switching patterns combined with the firm's contribution margin. The brand-switching matrix can be estimated from either longitudinal panel data or cross-sectional survey data, using a logit choice model. Firms can analyze drivers that have the greatest impact, compare the drivers' performance with that of competitors' drivers, and project return on investment from improvements in the drivers. To demonstrate how the approach can be implemented in a specific corporate setting and to show the methods used to test and validate the model, the authors illustrate a detailed application of the approach by using data from the airline industry. Their framework enables what-if evaluation of marketing return on investment, which can include such criteria as return on quality, return on advertising, return on loyalty programs, and even return on corporate citizenship, given a particular shift in customer perceptions. This enables the firm to focus marketing efforts on strategic initiatives that generate the greatest return.	
10.2307/2052390	10.2307/2052390		Robert C. Rice	The Journal of Asian Studies	32	2	1973-02-01T00:00:00Z	pp. 369-371	Association for Asian Studies	brv	Southeast Asia's Economy: Development Policies in the 1970's.|H. Myint		
10.1086/653656	10.1086/653656	Evaluative Conditioning Procedures and the Resilience of Conditioned Brand Attitudes	Steven Sweldens, Stijn M. J. Van Osselaer, Chris Janiszewski	Journal of Consumer Research	37	3	2010-10-01T00:00:00Z	pp. 473-489	The University of Chicago Press	fla		Changing brand attitudes by pairing a brand with affectively laden stimuli such as celebrity endorsers or pleasant pictures is called evaluative conditioning. We show that this attitude change can occur in two ways, depending on how brands and affective stimuli are presented. Attitude change can result from establishing a memory link between brand and affective stimulus (indirect attitude change) or from direct “affect transfer” from affective stimulus to brand (direct attitude change). Direct attitude change is significantly more robust than indirect attitude change, for example, to changes in the valence of affective stimuli (unconditioned stimulus revaluation: e.g., endorsers falling from grace), to interference by subsequent information (e.g., advertising clutter), and to persuasion knowledge activation (e.g., consumer suspicion about being influenced). Indirect evaluative conditioning requires repeated presentations of a brand with the same affective stimulus. Direct evaluative conditioning requires simultaneous presentation of a brand with different affective stimuli.	
10.2307/29769650	10.2307/29769650	Structural Change in U.S. Labor Markets	Dell Champlin	Review of Social Economy	51	1	1993-04-01T00:00:00Z	pp. 40-61	Taylor & Francis, Ltd.	fla			
10.2307/2532713	10.2307/2532713	Maximum Likelihood Estimation of the Risk Ratio in Case-Cohort Studies	Tosiya Sato	Biometrics	48	4	1992-12-01T00:00:00Z	pp. 1215-1221	International Biometric Society	fla		In this paper, maximum likelihood estimation of the risk ration in case-cohort studies is considered. In the crude analysis it gives the closed-form estimator of the risk ration and the large-sample variance estimator of its logarithm. Although the previously proposed crude risk ratio estimator generally retains high efficiency, its asymptotic efficiency relative to the new estimator falls below .9 in some parameter combinations. The efficient score test of zero exposure effect is shown to be identical with the chi-square test proposed by Miettinene (1982, Scandinavian Journal of Work and Environmental Heath 8, supplement 1, 7-14). In the stratified analysis, maximum likelihood estimation of the common risk ratio and the standardization methods based on stratum-specific maximum likelihood estimators are given.	
10.2307/4495996	10.2307/4495996	Grasses and the Resource Availability Hypothesis: The Importance of Silica-Based Defences	Fergus P. Massey, A. Roland Ennos, Sue E. Hartley	Journal of Ecology	95	3	2007-05-01T00:00:00Z	pp. 414-424	British Ecological Society	fla		1 The resource availability hypothesis (RAH) predicts that allocation of resources to anti-herbivore defences differs between species according to their growth rate. We tested this hypothesis by assessing the growth and defence investment strategies of 18 grass species and comparing them against vole feeding preferences. In addition, we assessed the effectiveness of silica, the primary defence in many grasses, in influencing vole feeding behaviour. 2 Across species, we found that there was a strong negative relationship between the overall investment in defence and growth rate, thus supporting predictions of the RAH. However, no such relationship was found when assessing the various individual anti-herbivore defences, suggesting that different grass species show significant variation in their relative investment in strategies such as phenolic concentration, silica concentration and leaf toughness. 3 Silica was the most influential defensive factor in determining vole feeding preference. Experimentally induced increases in leaf silica concentration deterred vole feeding in three of the five species tested, and altered feeding preference ranks between species. The strong positive relationship between silica concentration and leaf abrasiveness, when assessed both within and between species, suggests that increased abrasiveness is the mechanism by which silica deters feeding. 4 Although grasses are often considered to be tolerant of herbivore damage rather then defended against it, they do follow predictions of defence allocation strategy based on their growth rates, and this affects the feeding behaviour of generalist grass-feeding herbivores.	
10.2307/3648251	10.2307/3648251	Front Matter		The Journal of Higher Education	74	2	2003-03-01T00:00:00Z		Ohio State University Press	mis			
10.2307/25185693	10.2307/25185693	Effect of Antidepressant Drug Counselling and Information Leaflets on Adherence to Drug Treatment in Primary Care: Randomised Controlled Trial	Robert Peveler, Charles George, Ann-Louise Kinmonth, Michael Campbell, Chris Thompson	BMJ: British Medical Journal	319	7210	1999-09-04T00:00:00Z	pp. 612-615	BMJ Publishing Group	fla		Objectives To evaluate two different methods of improving adherence to antidepressant drugs. Design Factorial randomised controlled single blind trial of treatment leaflet, drug counselling, both, or treatment as usual. Setting Primary care in Wessex Participants 250 patients starting treatment with tricyclic antidepressants. Main outcome measures Adherence to drug treatment (by confidential self report and electronic monitor); depressive symptoms and health status. Results 66 (63%) patients continued with drugs to 12 weeks in the counselled group compared with 42 (39%) of those who did not receiving counselling (odds ratio 2.7, 95% confidence interval 1.6 to 4.8; number needed to treat = 4). Treatment leaflets had no significant effect on adherence. No differences in depressive symptoms were found between treatment groups overall, although a significant improvement was found in patients with major depressive disorder receiving drug doses of at least 75 mg (depression score 4 (SD 3.7) counselling v 5.9 (SD 5.0) no counselling, P = 0.038). Conclusions Counselling about drug treatment significantly improved adherence, but clinical benefit was seen only in patients with major depressive disorder receiving doses ≥75 mg. Further research is required to evaluate the effect of this approach in combination with appropriate targeting of treatment and advice about dosage.	
10.2307/1522067	10.2307/1522067	Comparing Ecological Functions of Natural and Created Wetlands for Shorebirds in Texas	Elizabeth D. Brusati, Paul J. DuBowy, Thomas E. Lacher, Jr.	Waterbirds: The International Journal of Waterbird Biology	24	3	2001-12-01T00:00:00Z	pp. 371-380	Waterbird Society	fla		We compared shorebird behavior, abundance and prey availability between natural and created wetlands along the Gulf of Mexico, Texas, USA. Locations included Aransas National Wildlife Refuge, the Nueces River Delta, and Mustang Island. Few significant differences existed in invertebrate density or biomass between sites; greater differences were found seasonally than between natural and created sites. Non-metric multidimensional scaling of avian abundance separated Mustang Island from Nueces Delta. Cluster analysis of behavior of Black-bellied Plover (Pluvialis squatarola), Long-billed Curlew (Numenius americanus), "peeps" (Calidris minutilla, C. pusilla), and Willet (Catoptrophorus semipalmatus), showed no clear differences in their behavior on natural and created sites. Mustang Island sites were more similar to each other than to Nueces Delta. All created sites had natural hydrology and tidal circulation, which appear to facilitate invertebrate and avian recruitment.	
10.2307/3465823	10.2307/3465823	[Comparacion Internacional de la Estructura de Produccion]: Comentario	Alieto Guadagni	Desarrollo Económico	5	17/19	1965-04-01T00:00:00Z	pp. 321-324	Instituto de Desarrollo Económico y Social	fla			
10.2307/172797	10.2307/172797	Stochastic Models of War Alliances	William J. Horvath, Caxton C. Foster	The Journal of Conflict Resolution	7	2	1963-06-01T00:00:00Z	pp. 110-116	Sage Publications, Inc.	fla			
10.2307/27641308	10.2307/27641308	The Relationship between Gender, Social Support, and Health-Related Quality of Life in a Community-Based Study in Washington County, Maryland	Lisa Gallicchio, Sandra C. Hoffman, Kathy J. Helzlsouer	Quality of Life Research	16	5	2007-06-01T00:00:00Z	pp. 777-786	Springer	fla		Objective Men tend to report higher health-related quality of life (HRQOL) than women of the same age, despite higher mortality rates and lower life expectancy. Social support is one factor related to HRQOL that may contribute to the observed gender difference. The purpose of this study was to determine the factors associated with HRQOL, especially levels of social support, and variation by gender. Methods Multivariable logistic regression was used to analyze data from 4,498 men and 6,948 women participating in an ongoing community-based cohort study in Washington County, Maryland (CLUE-II). Results The results showed that men reported significantly better HRQOL than women. Men reported having higher levels of social support than women, but the magnitude of the association with HRQOL was similar. Having two or less close friends was associated with a statistically significant increase in the odds of reporting poorer HRQOL compared to having 10 or more close friends among both genders (men: OR = 1.49; women: OR = 1.53). Differences in the level of social support did not explain the gender difference in HRQOL. Conclusions Our findings show that social support is an important correlate of HRQOL for both men and women. However, the gender differences in HRQOL are not explained by social support or the other factors examined.	
10.2307/1159937	10.2307/1159937	Recent Publications		Africa: Journal of the International African Institute	54	2	1984-01-01T00:00:00Z	pp. 123-128	Cambridge University Press, International African Institute	mis			
10.2307/1154322	10.2307/1154322		Gerald M. Meier	Economic Development and Cultural Change	41	3	1993-04-01T00:00:00Z	pp. 663-667	The University of Chicago Press	brv	Theorists of Economic Growth from David Hume to the Present: With a Perspective on the Next Century|W. W. Rostow		
10.2307/4420124	10.2307/4420124	Georgian Harmonic Clusters: Phonetic Cues to Phonological Representation	Ioana Chitoran	Phonology	15	2	1998-01-01T00:00:00Z	pp. 121-141	Cambridge University Press	fla			
10.2307/1682828	10.2307/1682828	News and Notes		Science	121	3148	1955-04-29T00:00:00Z	pp. 627-635	American Association for the Advancement of Science	nws			
10.2307/25556225	10.2307/25556225	Sulphuric Acid as a Silage Preservative: 2. Application Rate, Silage Composition, Animal Performance and Copper Status	P. O'Kiely, A. V. Flynn, D. B. R. Poole	Irish Journal of Agricultural Research	28	1	1989-01-01T00:00:00Z	pp. 11-23	TEAGASC-Agriculture and Food Development Authority	fla		Three experiments studied the effects of increasing rates of sulphuric acid application on silage composition and intake, and on animal performance and copper status. Herbage was direct-cut from permanent grass swards. In Experiments 1 and 2 the herbage was ensiled untreated or following treatment with formic acid (850 g kg⁻¹) at 3.0 l t⁻¹ or sulphuric acid (450 g kg⁻¹) at 1.5, 3.0, 4.5 or 6.0 l t⁻¹. Individual intakes of steers offered the silages were recorded. In Experiment 3, three successive cuts of grass were ensiled following treatment with formic acid at 2.3 l t⁻¹ or sulphuric acid at 2.3 or 4.2 l t⁻¹. The three cuts in each preservative treatment were offered in sequence, with or without 2.39 kg concentrates per head daily, to finishing heifers for 191 days. All silages were well-preserved in Experiments 1 and 2 (pH and NH₃-N values less than 4.2 and 71 g kg⁻¹ total N, respectively). The addition of increasing rates of sulphuric acid had relatively little effect on preservation characteristics. There was no consistent effect of acid type or application rate on preservation characteristics in Experiment 3. Silage dry matter (DM) intakes in Experiments 1 and 2 averaged 19.9 and 21.6 g kg⁻¹ liveweight, respectively, and there was no significant effect of treatment. Intake and liveweight gain were not affected by preservative treatment in Experiment 3, but concentrate supplementation reduced silage DM intake (6.08 to 5.05 kg day⁻¹) and increased (p < 0.001) daily liveweight gain (499 to 759 g). There was no interaction between preservative treatment and supplementation. Sulphuric acid treatments were generally associated with reduced liver and blood Cu levels particularly at the higher rates of addition. Supplementation with concentrates had a positive effect on Cu status. It is concluded that increasing the application rate of sulphuric acid above 2.3-3.0 l t⁻¹ had no significant effect on intake or animal performance, but did tend to reduce the animals' Cu status.	
10.2307/40661419	10.2307/40661419	Carbon and nitrogen supply to the underground orchid,               Rhizanthella gardneri	Jeremy J. Bougoure, Mark C. Brundrett, Pauline F. Grierson	New Phytologist	186	4	2010-06-01T00:00:00Z	pp. 947-956	New Phytologist Trust, Wiley	fla		Rhizanthella gardneri is a rare and fully subterranean orchid that is presumably obligately mycoheterotrophic. R. gardneri is thought to be linked via a common mycorrhizal fungus to co-occurring autotrophic shrubs, but there is no experimental evidence to support this supposition. We used compartmentalized microcosms to investigate the R. gardneri tripartite relationship.¹³CO₂ was applied to foliage of Melaleuca scalena plants and [¹³C-¹⁵ N]glycine was fed to the common mycorrhizal fungus, and both sources traced to R. gardneri plants. In our microcosm trial, up to 5% of carbon (C) fed as ¹³CO₂ to the autotrophic shrub was transferred to R. gardneri. R. gardneri also readily acquired soil C and nitrogen (N), where up to 6.2% of C and 22.5% of N fed as labelled glycine to soil was transferred via the fungus to R. gardneri after 240 h. Our study confirms that R. gardneri is mycoheterotrophic and acquires nutrients via mycorrhizal fungus connections from an ectomycorrhizal autotrophic shrub and directly from the soil via the same fungus. This connection with a specific fungus is key to explaining why R. gardneri occurs exclusively under certain Melaleuca species at a very limited number of sites in Western Australia.	
10.2307/25680372	10.2307/25680372	Evaluation of restoration effectiveness: community response to the removal of alien plants	Ruben Heleno, Inês Lacerda, Jaime A. Ramos, Jane Memmott	Ecological Applications	20	5	2010-07-01T00:00:00Z	pp. 1191-1203	Ecological Society of America	fla		Plant invasions are a key cause of biodiversity loss and motivate many restoration programs worldwide. We assessed restoration success of an invaded forest in the Azores using two complementary experimental designs: a before—after control—impact (BACI) design compared a restored and a control (unmanipulated) site over three years, while a control—impact (CI) design evaluated the short-term effects of restoration on restored—control replicated pairs. In both designs, a food web approach was used to evaluate both structural and functional aspects of the restoration. Two years after removing alien plants from the BACI design, there were increases in the abundance of native seeds (110%), herbivorous insects (85%), insect parasitoids (5%), and birds (7%) in the experimental plot compared to the unmanipulated plot. In the CI design, five experimental plots were weeded and paired with five adjacent unmanipulated plots. Immediately following the removal of alien plants within the experimental plots, there was a significant decrease in native plant species, likely attributed to the effect of disturbance. Nevertheless, the production of native seeds increased by 35% in year 1, and seed production of the focal endemic plant, Ilex perado (holly), increased 159% in year 2. Weeding increased the survivorship and growth of seedlings transplanted into the plots, particularly those of alien species. Both experiments provide evidence of the positive effects of weeding cascading through the food web from native plants to herbivorous insects, insect parasitoids, and birds. Two aspects that could prove critical to the outcome of restoration programs deserve further attention: most bird-dispersed seeds were alien, and weeding favored alien over native seedling growth.	
10.2307/3469274	10.2307/3469274	Hyperthyroidism	Charles A. Hubay, Ruth D. Evans	The American Journal of Nursing	55	10	1955-10-01T00:00:00Z	pp. 1206-1210	Lippincott Williams & Wilkins	fla			
